Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Eswatini,Africa,1162660,5128,,101,,4401,,626,11,4411,87,31426,27029,Africa
Uganda,Africa,46026488,5123,,58,,2333,,2732,,111,1,436246,9478,Africa
Equatorial Guinea,Africa,1412065,5000,,83,,4496,,421,,3541,59,56704,40157,Africa
Hong Kong,Asia,7509680,4976,,102,,4646,,228,18,663,14,2783134,370606,WesternPacific
Nicaragua,North America,6640874,4961,,147,,2913,,1901,,747,22,,,Americas
Congo,Africa,5545394,4934,,88,,3887,,959,,890,16,,,Africa
Cabo Verde,Africa,557240,4904,,46,,4294,,564,,8801,83,76576,137420,Africa
Cuba,North America,11325146,4803,,108,,4119,,576,16,424,10,500285,44175,Americas
CAR,Africa,4846940,4772,,62,,1828,,2882,2,985,13,31576,6515,
Suriname,South America,587727,4625,,95,,3996,,534,7,7869,162,12100,20588,Americas
Rwanda,Africa,13016742,4624,,22,,2767,,1835,,355,2,466518,35840,Africa
Jamaica,North America,2963887,4042,,46,,1163,,2833,8,1364,16,68491,23109,Americas
Slovenia,Europe,2078999,3831,,135,,2789,,907,10,1843,65,186588,89749,Europe
Jordan,Asia,10224199,3677,,26,,2311,,1340,13,360,3,1004323,98230,EasternMediterranean
Myanmar,Asia,54486187,3636,134,39,4,832,,2765,,67,0.7,191696,3518,South-EastAsia
Syria,Asia,17586197,3614,,160,,871,,2583,,206,9,,,EasternMediterranean
Angola,Africa,33068559,3569,,139,,1332,,2098,16,108,4,65951,1994,Africa
Thailand,Asia,69836982,3490,10,58,,3316,1,116,1,50,0.8,749213,10728,South-EastAsia
Gambia,Africa,2430203,3428,,105,,1737,,1586,,1411,43,14410,5930,Africa
Lithuania,Europe,2714001,3397,,87,,2094,,1216,,1252,32,700140,257973,Europe
Somalia,Africa,15981658,3390,,98,,2812,,480,,212,6,,,EasternMediterranean
Mayotte,Africa,274140,3374,,40,,2964,,370,2,12308,146,13000,47421,
Sri Lanka,Asia,21432152,3271,,13,,3016,,242,,153,0.6,257477,12014,South-EastAsia
Trinidad and Tobago,North America,1400444,3223,,56,,798,,2369,10,2301,40,27883,19910,Americas
Aruba,North America,106861,3152,,22,,1610,,1520,11,29496,206,26399,247041,
Guadeloupe,North America,400139,3080,,24,,837,,2219,20,7697,60,36764,91878,
Bahamas,North America,394026,3032,,69,,1482,,1481,65,7695,175,15510,39363,Americas
Mali,Africa,20366908,2940,,128,,2302,,510,,144,6,45883,2253,Africa
Réunion,Africa,896649,2902,,15,,1313,,1574,,3236,17,35419,39502,
Estonia,Europe,1326724,2722,,64,,2286,,372,1,2052,48,175110,131987,Europe
South Sudan,Africa,11220910,2592,,49,,1290,,1253,,231,4,12044,1073,Africa
Georgia,Asia,3987535,2562,,19,,1369,,1174,,643,5,490207,122935,Europe
Botswana,Africa,2361274,2463,,11,,575,,1877,1,1043,5,150407,63697,Africa
Malta,Europe,441791,2454,,16,,1931,,507,2,5555,36,218692,495012,Europe
Guinea-Bissau,Africa,1977375,2275,,39,,1127,,1109,5,1151,20,,,Africa
Benin,Africa,12186797,2267,,40,,1942,,285,,186,3,158881,13037,Africa
Iceland,Europe,341707,2174,,10,,2102,,62,,6362,29,238049,696647,Europe
Sierra Leone,Africa,8009931,2126,,72,,1640,,414,,265,9,,,Africa
Yemen,Asia,29958854,2016,,583,,1219,,214,,67,19,,,EasternMediterranean
Guyana,South America,787350,1958,,58,,1302,,598,15,2487,74,11268,14311,Americas
Uruguay,South America,3476268,1827,,45,,1545,,237,1,526,13,203232,58463,Americas
New Zealand,Australia/Oceania,5002100,1802,1,25,1,1698,4,79,3,360,5,881532,176232,WesternPacific
Burkina Faso,Africa,21017728,1733,,56,,1141,,536,,82,3,,,Africa
Togo,Africa,8317844,1595,,40,,1219,,336,,192,5,78634,9454,Africa
Cyprus,Asia,1209197,1540,,22,,1282,,236,2,1274,18,337274,278924,Europe
Belize,North America,399102,1528,27,19,,663,123,846,3,3829,48,11825,29629,Americas
Latvia,Europe,1881673,1482,,35,,1248,,199,,788,19,282835,150310,Europe
Andorra,Europe,77291,1438,,53,,945,,440,4,18605,686,137457,1778435,Europe
Liberia,Africa,5081645,1327,,82,,1214,,31,,261,16,,,Africa
